source,target,edge
,It,[looked]
,Just  Just,[arrived]
,buckets,[sounded]
,The,[burning]
,so  water,[was]
,same  time,[extinguished]
,headway,[was hard]
,Bolon,[responded by]
,Mayonia,[do]
,puppet newspapers,[installed]
,savings,[was upset]
,Ronan,[motivates]
,Ronan,[is beside]
Joe,Steven,[motivates]
,Snoopy doghouse,[built]
,it,[put]
,this,[was unhappy]
,enough  filament,[generated low]
,intense laser beam,[needed]
,So  So,[seemed]
,idea,[was about]
,several intensity laser directions,[placed several]
,it,[converged on]
,successfully  experiment,[relieved]
,finest  world,[acknowledged]
,one computer science faculty,[ranked]
,research,[allowed]
,individual  faculty,[outdone by]
,professors,[known]
,little  other,[seem]
,reach,[are on]
,small  gumballs,[contains]
,farther cardboard bowl,[is]
,empty  seat,[is]
,Red Red,[Adair]
,strong  dictator,[ruled from]
,farms,[situated in]
,countryside,[led to]
,fortress,[vowed]
,administrative  work,[been difficult]
,enough faculty biology,[are]
,biology 1960s,[got]
,clearly  faculty,[left]
,often  issues,[are vocal]
,Congress,[called]
,Consistent  Consistent,[target]
,mine,"[deserve, exclaimed]"
,Your,[was terrible]
,warm season chirping,[spent]
,sunflower return,[began]
,very  him,[was]
,You,[are]
Ben,volatile  price,[inherited]
,uncertain revenue stream,[wanted]
,In,[was]
,extended  universe,[is]
,2016,[confirmed through]
,filming,[concluded]
,cause,[swears]
,upper  hand,[gains]
,him,[arthur before]
,1930s,[done in]
,choreographed  songs,[feature]
,often budget considerations,[motivated by]
,regional  industry,[are]
,surviving  india,[is]
,assamese  movies,[produced]
,science fiction,[produced]
,buddhadeb ghose,[include]
,piyari  chadhaibo,[begins with ganga]
,following  decades,[produced]
,silent  films,[were]
,mostly  mumbai,[located in]
