NOUN,VERB/PREP,NOUN
Gordmont_Gordmont,is,department
Gordmont_Gordmont,begun,1987
department,at,Gordmont_Gordmont
department,in,1987
1987,in,response
response,to,pressure
pressure,for,classes
University,searched_for,instructors
focus,on,education
education,at,Gordmont_Gordmont
effort,is,fact
department,awarded,Award
success,of,effort
effort,in,fact
faculty,in,department
Award,in,each
each,of,years
there,been,period
music_department_it,is,department
adjustment,in,relations
period,of,adjustment
department,seem,respect
faculty,seem,members
department,have,respect
faculty,get,members
members,of,department
respect,for,other
